id,sk,cs,hu
294,Majstrovstvá Európy v basketbale žien 1972,Mistrovství Evropy v basketbalu žen 1972,1972-es női kosárlabda-Európa-bajnokság
295,Letné olympijské hry 1972,Letní olympijské hry 1972,1972. évi nyári olimpiai játékok
296,Zimné olympijské hry 1972,Zimní olympijské hry 1972,1972. évi téli olimpiai játékok
297,NHL 1972/1973,NHL 1972/1973,1972-1973-as NHL-szezon
298,Serie A 1972/1973,Serie A 1972/73,1972-1973-as olasz labdarúgó-bajnokság (első osztály)
299,Majstrovstvá Európy v basketbale mužov 1973,Mistrovství Evropy v basketbalu mužů 1973,1973-as férfi kosárlabda-Európa-bajnokság
300,Majstrovstvá sveta v hádzanej žien 1973,Mistrovství světa v házené žen 1973,1973-as női kézilabda-világbajnokság
301,NHL 1973/1974,NHL 1973/1974,1973-1974-es NHL-szezon
302,Serie A 1973/1974,Serie A 1973/74,1973-1974-es olasz labdarúgó-bajnokság (első osztály)
303,Majstrovstvá sveta v hádzanej mužov 1974,Mistrovství světa v házené mužů 1974,1974-es férfi kézilabda-világbajnokság
304,Majstrovstvá sveta vo volejbale mužov 1974,Mistrovství světa ve volejbale mužů 1974,1974-es férfi röplabda-világbajnokság
305,Majstrovstvá sveta vo futbale 1974,Mistrovství světa ve fotbale 1974,1974-es labdarúgó-világbajnokság
306,Majstrovstvá Európy v basketbale žien 1974,Mistrovství Evropy v basketbalu žen 1974,1974-es női kosárlabda-Európa-bajnokság
307,NHL 1974/1975,NHL 1974/1975,1974-1975-ös NHL-szezon
308,Serie A 1974/1975,Serie A 1974/75,1974-1975-ös olasz labdarúgó-bajnokság (első osztály)
309,Majstrovstvá Európy v basketbale mužov 1975,Mistrovství Evropy v basketbalu mužů 1975,1975-ös férfi kosárlabda-Európa-bajnokság
310,Majstrovstvá Európy vo volejbale mužov 1975,Mistrovství Evropy ve volejbale mužů 1975,1975-ös férfi röplabda-Európa-bajnokság
311,Majstrovstvá sveta v basketbale žien 1975,Mistrovství světa v basketbalu žen 1975,1975-ös női kosárlabda-világbajnokság
312,Majstrovstvá sveta v hádzanej žien 1975,Mistrovství světa v házené žen 1975,1975-ös női kézilabda-világbajnokság
313,NHL 1975/1976,NHL 1975/1976,1975-1976-os NHL-szezon
314,Serie A 1975/1976,Serie A 1975/76,1975-1976-os olasz labdarúgó-bajnokság (első osztály)
315,Majstrovstvá Európy vo futbale 1976,Mistrovství Evropy ve fotbale 1976,1976-os labdarúgó-Európa-bajnokság
316,Majstrovstvá Európy v basketbale žien 1976,Mistrovství Evropy v basketbalu žen 1976,1976-os női kosárlabda-Európa-bajnokság
317,Letné olympijské hry 1976,Letní olympijské hry 1976,1976. évi nyári olimpiai játékok
318,Zimné olympijské hry 1976,Zimní olympijské hry 1976,1976. évi téli olimpiai játékok
319,NHL 1976/1977,NHL 1976/1977,1976-1977-es NHL-szezon
320,Serie A 1976/1977,Serie A 1976/77,1976-1977-es olasz labdarúgó-bajnokság (első osztály)
321,Majstrovstvá Európy v basketbale mužov 1977,Mistrovství Evropy v basketbalu mužů 1977,1977-es férfi kosárlabda-Európa-bajnokság
322,Majstrovstvá Európy vo volejbale mužov 1977,Mistrovství Evropy ve volejbale mužů 1977,1977-es férfi röplabda-Európa-bajnokság
323,NHL 1977/1978,NHL 1977/1978,1977-1978-as NHL-szezon
324,Majstrovstvá sveta v hádzanej mužov 1978,Mistrovství světa v házené mužů 1978,1978-as férfi kézilabda-világbajnokság
325,Majstrovstvá sveta vo volejbale mužov 1978,Mistrovství světa ve volejbale mužů 1978,1978-as férfi röplabda-világbajnokság
326,Majstrovstvá sveta vo futbale 1978,Mistrovství světa ve fotbale 1978,1978-as labdarúgó-világbajnokság
327,Majstrovstvá Európy v basketbale žien 1978,Mistrovství Evropy v basketbalu žen 1978,1978-as női kosárlabda-Európa-bajnokság
328,Majstrovstvá sveta v hádzanej žien 1978,Mistrovství světa v házené žen 1978,1978-as női kézilabda-világbajnokság
329,Serie A 1978/1979,Serie A 1978/79,1978-1979-es olasz labdarúgó-bajnokság (első osztály)
330,Majstrovstvá Európy v basketbale mužov 1979,Mistrovství Evropy v basketbalu mužů 1979,1979-es férfi kosárlabda-Európa-bajnokság
331,Majstrovstvá Európy vo volejbale mužov 1979,Mistrovství Evropy ve volejbale mužů 1979,1979-es férfi röplabda-Európa-bajnokság
332,Majstrovstvá sveta v basketbale žien 1979,Mistrovství světa v basketbalu žen 1979,1979-es női kosárlabda-világbajnokság
333,Serie A 1979/1980,Serie A 1979/80,1979-1980-as olasz labdarúgó-bajnokság (első osztály)
334,Majstrovstvá Európy vo futbale 1980,Mistrovství Evropy ve fotbale 1980,1980-as labdarúgó-Európa-bajnokság
335,Majstrovstvá Európy v basketbale žien 1980,Mistrovství Evropy v basketbalu žen 1980,1980-as női kosárlabda-Európa-bajnokság
336,80. roky 20. storočia,1980-1989,1980-as évek
337,Letné olympijské hry 1980,Letní olympijské hry 1980,1980. évi nyári olimpiai játékok
338,Zimné olympijské hry 1980,Zimní olympijské hry 1980,1980. évi téli olimpiai játékok
339,Serie A 1980/1981,Serie A 1980/81,1980-1981-es olasz labdarúgó-bajnokság (első osztály)
340,Majstrovstvá Európy v basketbale mužov 1981,Mistrovství Evropy v basketbalu mužů 1981,1981-es férfi kosárlabda-Európa-bajnokság
341,Majstrovstvá Európy vo volejbale mužov 1981,Mistrovství Evropy ve volejbale mužů 1981,1981-es férfi röplabda-Európa-bajnokság
342,Majstrovstvá sveta v ľadovom hokeji 1981,Mistrovství světa v ledním hokeji 1981,1981-es jégkorong-világbajnokság
343,Majstrovstvá Európy v basketbale žien 1981,Mistrovství Evropy v basketbalu žen 1981,1981-es női kosárlabda-Európa-bajnokság
344,Serie A 1981/1982,Serie A 1981/82,1981-1982-es olasz labdarúgó-bajnokság (első osztály)
345,Majstrovstvá sveta v hádzanej mužov 1982,Mistrovství světa v házené mužů 1982,1982-es férfi kézilabda-világbajnokság
346,Majstrovstvá sveta vo volejbale mužov 1982,Mistrovství světa ve volejbale mužů 1982,1982-es férfi röplabda-világbajnokság
347,Majstrovstvá sveta v ľadovom hokeji 1982,Mistrovství světa v ledním hokeji 1982,1982-es jégkorong-világbajnokság
348,Majstrovstvá sveta vo futbale 1982,Mistrovství světa ve fotbale 1982,1982-es labdarúgó-világbajnokság
349,Majstrovstvá sveta v hádzanej žien 1982,Mistrovství světa v házené žen 1982,1982-es női kézilabda-világbajnokság
350,Serie A 1982/1983,Serie A 1982/83,1982-1983-as olasz labdarúgó-bajnokság (első osztály)
351,Majstrovstvá Európy v basketbale mužov 1983,Mistrovství Evropy v basketbalu mužů 1983,1983-as férfi kosárlabda-Európa-bajnokság
352,Majstrovstvá Európy vo volejbale mužov 1983,Mistrovství Evropy ve volejbale mužů 1983,1983-as férfi röplabda-Európa-bajnokság
353,Majstrovstvá Európy v basketbale žien 1983,Mistrovství Evropy v basketbalu žen 1983,1983-as női kosárlabda-Európa-bajnokság
354,Majstrovstvá sveta v basketbale žien 1983,Mistrovství světa v basketbalu žen 1983,1983-as női kosárlabda-világbajnokság
355,Serie A 1983/1984,Serie A 1983/84,1983-1984-es olasz labdarúgó-bajnokság (első osztály)
356,1984 (román),1984 (román),1984 (regény)
357,Majstrovstvá Európy vo futbale 1984,Mistrovství Evropy ve fotbale 1984,1984-es labdarúgó-Európa-bajnokság
358,Letné olympijské hry 1984,Letní olympijské hry 1984,1984. évi nyári olimpiai játékok
359,Zimné olympijské hry 1984,Zimní olympijské hry 1984,1984. évi téli olimpiai játékok
360,Serie A 1984/1985,Serie A 1984/85,1984-1985-ös olasz labdarúgó-bajnokság (első osztály)
361,Majstrovstvá Európy v basketbale mužov 1985,Mistrovství Evropy v basketbalu mužů 1985,1985-ös férfi kosárlabda-Európa-bajnokság
362,Majstrovstvá Európy vo volejbale mužov 1985,Mistrovství Evropy ve volejbale mužů 1985,1985-ös férfi röplabda-Európa-bajnokság
363,Majstrovstvá sveta v ľadovom hokeji 1985,Mistrovství světa v ledním hokeji 1985,1985-ös jégkorong-világbajnokság
364,Majstrovstvá Európy v basketbale žien 1985,Mistrovství Evropy v basketbalu žen 1985,1985-ös női kosárlabda-Európa-bajnokság
365,Serie A 1985/1986,Serie A 1985/86,1985-1986-os olasz labdarúgó-bajnokság (első osztály)
366,Majstrovstvá sveta v hádzanej mužov 1986,Mistrovství světa v házené mužů 1986,1986-os férfi kézilabda-világbajnokság
367,Majstrovstvá sveta vo volejbale mužov 1986,Mistrovství světa ve volejbale mužů 1986,1986-os férfi röplabda-világbajnokság
368,Majstrovstvá sveta vo futbale 1986,Mistrovství světa ve fotbale 1986,1986-os labdarúgó-világbajnokság
369,Majstrovstvá sveta v basketbale žien 1986,Mistrovství světa v basketbalu žen 1986,1986-os női kosárlabda-világbajnokság
370,Majstrovstvá sveta v hádzanej žien 1986,Mistrovství světa v házené žen 1986,1986-os női kézilabda-világbajnokság
371,Serie A 1986/1987,Serie A 1986/87,1986-1987-es olasz labdarúgó-bajnokság (első osztály)
372,Majstrovstvá sveta v atletike 1987,Mistrovství světa v atletice 1987,1987-es atlétikai világbajnokság
373,Majstrovstvá Európy v basketbale mužov 1987,Mistrovství Evropy v basketbalu mužů 1987,1987-es férfi kosárlabda-Európa-bajnokság
374,Majstrovstvá Európy vo volejbale mužov 1987,Mistrovství Evropy ve volejbale mužů 1987,1987-es férfi röplabda-Európa-bajnokság
375,Majstrovstvá Európy v basketbale žien 1987,Mistrovství Evropy v basketbalu žen 1987,1987-es női kosárlabda-Európa-bajnokság
376,Serie A 1987/1988,Serie A 1987/88,1987-1988-as olasz labdarúgó-bajnokság (első osztály)
377,Majstrovstvá Európy vo futbale 1988,Mistrovství Evropy ve fotbale 1988,1988-as labdarúgó-Európa-bajnokság
378,Majstrovstvá Ázie vo futbale 1988,Mistrovství Asie ve fotbale 1988,1988-as Ázsia-kupa
379,Letné olympijské hry 1988,Letní olympijské hry 1988,1988. évi nyári olimpiai játékok
380,Zimné olympijské hry 1988,Zimní olympijské hry 1988,1988. évi téli olimpiai játékok
381,Serie A 1988/1989,Serie A 1988/89,1988-1989-es olasz labdarúgó-bajnokság (első osztály)
382,1989 (album Taylor Swift),"1989 (album, Taylor Swift)",1989 (album)
383,Majstrovstvá Európy v basketbale mužov 1989,Mistrovství Evropy v basketbalu mužů 1989,1989-es férfi kosárlabda-Európa-bajnokság
384,Majstrovstvá Európy vo volejbale mužov 1989,Mistrovství Evropy ve volejbale mužů 1989,1989-es férfi röplabda-Európa-bajnokság
385,Majstrovstvá Európy v basketbale žien 1989,Mistrovství Evropy v basketbalu žen 1989,1989-es női kosárlabda-Európa-bajnokság
386,Rumunská revolúcia v roku 1989,Rumunská revoluce,1989-es romániai forradalom
387,Formula 1 v roku 1990,Formule 1 v roce 1990,1990-es Formula-1 világbajnokság
388,Majstrovstvá sveta v basketbale mužov 1990,Mistrovství světa v basketbalu mužů 1990,1990-es férfi kosárlabda-világbajnokság
389,Majstrovstvá sveta v hádzanej mužov 1990,Mistrovství světa v házené mužů 1990,1990-es férfi kézilabda-világbajnokság
390,Majstrovstvá sveta vo volejbale mužov 1990,Mistrovství světa ve volejbale mužů 1990,1990-es férfi röplabda-világbajnokság
391,Majstrovstvá sveta vo futbale 1990,Mistrovství světa ve fotbale 1990,1990-es labdarúgó-világbajnokság
392,Majstrovstvá sveta v basketbale žien 1990,Mistrovství světa v basketbalu žen 1990,1990-es női kosárlabda-világbajnokság
393,Majstrovstvá sveta v hádzanej žien 1990,Mistrovství světa v házené žen 1990,1990-es női kézilabda-világbajnokság
394,90. roky 20. storočia,1990-1999,1990-es évek
395,Formula 1 v roku 1991,Formule 1 v roce 1991,1991-es Formula-1 világbajnokság
396,Majstrovstvá Európy v basketbale mužov 1991,Mistrovství Evropy v basketbalu mužů 1991,1991-es férfi kosárlabda-Európa-bajnokság
397,Majstrovstvá Európy vo volejbale mužov 1991,Mistrovství Evropy ve volejbale mužů 1991,1991-es férfi röplabda-Európa-bajnokság
398,Majstrovstvá Európy v basketbale žien 1991,Mistrovství Evropy v basketbalu žen 1991,1991-es női kosárlabda-Európa-bajnokság
399,1992 Galvarino,Galvarino (planetka),1992 Galvarino
400,Pohár kráľa Fahda 1992,King Fahd Cup 1992,1992-es konföderációs kupa
401,Majstrovstvá Európy vo futbale 1992,Mistrovství Evropy ve fotbale 1992,1992-es labdarúgó-Európa-bajnokság
402,Majstrovstvá Ázie vo futbale 1992,Mistrovství Asie ve fotbale 1992,1992-es Ázsia-kupa
403,Letné olympijské hry 1992,Letní olympijské hry 1992,1992. évi nyári olimpiai játékok
404,Zimné olympijské hry 1992,Zimní olympijské hry 1992,1992. évi téli olimpiai játékok
405,Majstrovstvá Európy v basketbale mužov 1993,Mistrovství Evropy v basketbalu mužů 1993,1993-as férfi kosárlabda-Európa-bajnokság
406,Majstrovstvá sveta v hádzanej mužov 1993,Mistrovství světa v házené mužů 1993,1993-as férfi kézilabda-világbajnokság
407,Majstrovstvá Európy vo volejbale mužov 1993,Mistrovství Evropy ve volejbale mužů 1993,1993-as férfi röplabda-Európa-bajnokság
408,Majstrovstvá Európy v basketbale žien 1993,Mistrovství Evropy v basketbalu žen 1993,1993-as női kosárlabda-Európa-bajnokság
409,Majstrovstvá sveta v hádzanej žien 1993,Mistrovství světa v házené žen 1993,1993-as női kézilabda-világbajnokság
410,Slovenská extraliga v ľadovom hokeji 1993/1994,Slovenská extraliga ledního hokeje 1993/1994,1993-1994-es Szlovák Extraliga-szezon
411,1. česká futbalová liga 1993/1994,1. česká fotbalová liga 1993/94,1993-1994-es cseh labdarúgó-bajnokság (első osztály)
412,1. slovenská futbalová liga 1993/1994,1. slovenská fotbalová liga 1993/94,1993-1994-es szlovák labdarúgó-bajnokság (első osztály)
413,Majstrovstvá sveta v basketbale mužov 1994,Mistrovství světa v basketbalu mužů 1994,1994-es férfi kosárlabda-világbajnokság
414,Majstrovstvá Európy v hádzanej mužov 1994,Mistrovství Evropy v házené mužů 1994,1994-es férfi kézilabda-Európa-bajnokság
415,Majstrovstvá sveta vo volejbale mužov 1994,Mistrovství světa ve volejbale mužů 1994,1994-es férfi röplabda-világbajnokság
416,Majstrovstvá sveta v ľadovom hokeji 1994,Mistrovství světa v ledním hokeji 1994,1994-es jégkorong-világbajnokság
417,Majstrovstvá sveta vo futbale 1994,Mistrovství světa ve fotbale 1994,1994-es labdarúgó-világbajnokság
418,Majstrovstvá sveta v basketbale žien 1994,Mistrovství světa v basketbalu žen 1994,1994-es női kosárlabda-világbajnokság
419,Majstrovstvá Európy v hádzanej žien 1994,Mistrovství Evropy v házené žen 1994,1994-es női kézilabda-Európa-bajnokság
420,Zimné olympijské hry 1994,Zimní olympijské hry 1994,1994. évi téli olimpiai játékok
421,Slovenská extraliga v ľadovom hokeji 1994/1995,Slovenská extraliga ledního hokeje 1994/1995,1994-1995-ös Szlovák Extraliga-szezon
422,1. česká futbalová liga 1994/1995,1. česká fotbalová liga 1994/95,1994-1995-ös cseh labdarúgó-bajnokság (első osztály)
423,1. slovenská futbalová liga 1994/1995,1. slovenská fotbalová liga 1994/95,1994-1995-ös szlovák labdarúgó-bajnokság (első osztály)
424,Majstrovstvá Európy v basketbale mužov 1995,Mistrovství Evropy v basketbalu mužů 1995,1995-ös férfi kosárlabda-Európa-bajnokság
425,Majstrovstvá sveta v hádzanej mužov 1995,Mistrovství světa v házené mužů 1995,1995-ös férfi kézilabda-világbajnokság
426,Majstrovstvá Európy vo volejbale mužov 1995,Mistrovství Evropy ve volejbale mužů 1995,1995-ös férfi röplabda-Európa-bajnokság
427,Majstrovstvá sveta v ľadovom hokeji 1995,Mistrovství světa v ledním hokeji 1995,1995-ös jégkorong-világbajnokság
428,Pohár kráľa Fahda 1995,Pohár krále Fahda 1995,1995-ös konföderációs kupa
429,Majstrovstvá Európy v basketbale žien 1995,Mistrovství Evropy v basketbalu žen 1995,1995-ös női kosárlabda-Európa-bajnokság
430,Majstrovstvá sveta v hádzanej žien 1995,Mistrovství světa v házené žen 1995,1995-ös női kézilabda-világbajnokság
431,Majstrovstvá sveta v rely 1995,Mistrovství světa v rallye 1995,1995-ös rali-világbajnokság
432,Slovenská extraliga v ľadovom hokeji 1995/1996,Slovenská extraliga ledního hokeje 1995/1996,1995-1996-os Szlovák Extraliga-szezon
433,1. česká futbalová liga 1995/1996,1. česká fotbalová liga 1995/96,1995-1996-os cseh labdarúgó-bajnokság (első osztály)
434,1. slovenská futbalová liga 1995/1996,1. slovenská fotbalová liga 1995/96,1995-1996-os szlovák labdarúgó-bajnokság (első osztály)
435,Oceánsky pohár národov 1996,Oceánský pohár národů 1996,1996-os OFC-nemzetek kupája
436,Majstrovstvá Európy v hádzanej mužov 1996,Mistrovství Evropy v házené mužů 1996,1996-os férfi kézilabda-Európa-bajnokság
437,Majstrovstvá sveta v ľadovom hokeji 1996,Mistrovství světa v ledním hokeji 1996,1996-os jégkorong-világbajnokság
438,Majstrovstvá Európy vo futbale 1996,Mistrovství Evropy ve fotbale 1996,1996-os labdarúgó-Európa-bajnokság
439,Majstrovstvá Európy v hádzanej žien 1996,Mistrovství Evropy v házené žen 1996,1996-os női kézilabda-Európa-bajnokság
440,Majstrovstvá Ázie vo futbale 1996,Mistrovství Asie ve fotbale 1996,1996-os Ázsia-kupa
441,Letné olympijské hry 1996,Letní olympijské hry 1996,1996. évi nyári olimpiai játékok
442,Slovenská extraliga v ľadovom hokeji 1996/1997,Slovenská extraliga ledního hokeje 1996/1997,1996-1997-es Szlovák Extraliga-szezon
443,1. česká futbalová liga 1996/1997,1. česká fotbalová liga 1996/97,1996-1997-es cseh labdarúgó-bajnokság (első osztály)
444,1. slovenská futbalová liga 1996/1997,1. slovenská fotbalová liga 1996/97,1996-1997-es szlovák labdarúgó-bajnokság (első osztály)
445,Majstrovstvá Európy v basketbale mužov 1997,Mistrovství Evropy v basketbalu mužů 1997,1997-es férfi kosárlabda-Európa-bajnokság
